Stock Location Name,SKU,Sku Description,Origin stock location,Buffer Size,Replenishment Time,Inventory At Site,Inventory At Transit,Inventory At Production,Unit Price,TVC (Unit Cost),Throughput,Minimum Buffer,Auto replenishemnt,Avoid replenishemnt,DBM policy,Product,Sub product,Age_Group_Gender,Fabric_Structure_Weave,Occasion,Color Family,Product Sub class,Fit,Sleeve,Length,Neck Type_Waist rise,Collar Type _ Distress_Fade,Silhouette,Fabric Composition,Pattern_Print type,WH qty,MRP band,Color shade group,Merchandise Season Status,Season_Season Year,World,Minimum Replenishment,Last Batch Replenishment (%),Replenishment Multiplication,Reported Date Year,Reported Date Month,Reported Date Day
P689,110103567001,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567002,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567003,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567004,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567006,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567007,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567009,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567012,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567013,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567016,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567017,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567020,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567022,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567023,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103567024,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568007,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568008,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568009,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568010,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568011,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568012,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568019,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568020,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568021,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568022,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568023,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110103568024,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110118668001,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110118668002,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110118668003,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110118668004,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110118668006,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908001,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908002,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908003,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908004,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908005,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908006,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908007,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908009,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908012,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908013,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908014,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908017,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908018,,D024,1,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
P689,110121908019,,D024,2,7,0,0,0,1,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2024,6,21
